"","subject","culture","task_name","task_info","trial_info","resp_type","resp"
"1","SS1608910542319","CN","SI","SI","SI","inflation_score_ratio",1.05144559515312
"2","SS1608910542319","CN","SI","SI","SI","inflation_score_diff",3.651648675
"3","SS1608915923505","CN","SI","SI","SI","inflation_score_ratio",1.00160497985219
"4","SS1608915923505","CN","SI","SI","SI","inflation_score_diff",0.176599613333337
"5","SS1608922359968","CN","SI","SI","SI","inflation_score_ratio",0.813459730807362
"6","SS1608922359968","CN","SI","SI","SI","inflation_score_diff",-19.448744485
"7","SS1608939499047","CN","SI","SI","SI","inflation_score_ratio",1.11502459715105
"8","SS1608939499047","CN","SI","SI","SI","inflation_score_diff",13.92949395
"9","SS1608945641685","CN","SI","SI","SI","inflation_score_ratio",1.24692853427129
"10","SS1608945641685","CN","SI","SI","SI","inflation_score_diff",16.7144338425
"11","SS1608948095292","CN","SI","SI","SI","inflation_score_ratio",0.966065652140952
"12","SS1608948095292","CN","SI","SI","SI","inflation_score_diff",-1.72834429666666
"13","SS1608949381789","CN","SI","SI","SI","inflation_score_ratio",0.67636204719241
"14","SS1608949381789","CN","SI","SI","SI","inflation_score_diff",-26.10776126
"15","SS1608954326224","CN","SI","SI","SI","inflation_score_ratio",1.45513536167607
"16","SS1608954326224","CN","SI","SI","SI","inflation_score_diff",26.170813545
"17","SS1608954731700","CN","SI","SI","SI","inflation_score_ratio",1.08850605247021
"18","SS1608954731700","CN","SI","SI","SI","inflation_score_diff",5.32500654333334
"19","SS1608970887825","CN","SI","SI","SI","inflation_score_ratio",0.894601210378008
"20","SS1608970887825","CN","SI","SI","SI","inflation_score_diff",-5.75494744333334
"21","SS1608972269897","CN","SI","SI","SI","inflation_score_ratio",0.68212719484678
"22","SS1608972269897","CN","SI","SI","SI","inflation_score_diff",-33.668460745
"23","SS1608996310483","CN","SI","SI","SI","inflation_score_ratio",0.738140494978823
"24","SS1608996310483","CN","SI","SI","SI","inflation_score_diff",-14.7639734216667
"25","SS1608996688173","CN","SI","SI","SI","inflation_score_ratio",1.98811270622675
"26","SS1608996688173","CN","SI","SI","SI","inflation_score_diff",46.2246399175
"27","SS1608997032951","CN","SI","SI","SI","inflation_score_ratio",0.799539556711196
"28","SS1608997032951","CN","SI","SI","SI","inflation_score_diff",-15.15352143
"29","SS1608997112698","CN","SI","SI","SI","inflation_score_ratio",0.789675530899826
"30","SS1608997112698","CN","SI","SI","SI","inflation_score_diff",-18.636391485
"31","SS1608997232238","CN","SI","SI","SI","inflation_score_ratio",1.10799060141907
"32","SS1608997232238","CN","SI","SI","SI","inflation_score_diff",5.49707570333334
"33","SS1608997522324","CN","SI","SI","SI","inflation_score_ratio",0.887398626237021
"34","SS1608997522324","CN","SI","SI","SI","inflation_score_diff",-7.54537910666667
"35","SS1608997707068","CN","SI","SI","SI","inflation_score_ratio",1.03650709235345
"36","SS1608997707068","CN","SI","SI","SI","inflation_score_diff",3.15422123
"37","SS1608997774748","CN","SI","SI","SI","inflation_score_ratio",0.775197818804239
"38","SS1608997774748","CN","SI","SI","SI","inflation_score_diff",-23.65357234
"39","SS1608997826306","CN","SI","SI","SI","inflation_score_ratio",0.392074644079729
"40","SS1608997826306","CN","SI","SI","SI","inflation_score_diff",-119.702888606667
"41","SS1608998177863","CN","SI","SI","SI","inflation_score_ratio",0.958779827879584
"42","SS1608998177863","CN","SI","SI","SI","inflation_score_diff",-2.21942012333334
