"","name.x","subject","reason_abroad","reason_language","culture","name.y","reason_EBB","reason_RMTS","reason_HZ","reason_FD","reason_CA","reason_SI","culture.y","name","reason_EBB_complete","reason_RMTS_complete","reason_HZ_complete","reason_FD_complete","reason_CA_complete"
"13",13,"SS1608759071639",FALSE,FALSE,"US",13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",13,FALSE,FALSE,FALSE,FALSE,FALSE
"14",14,"SS1608764841871",FALSE,TRUE,"US",14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",14,FALSE,FALSE,FALSE,FALSE,FALSE
"15",15,"SS1608764844416",FALSE,FALSE,"US",15,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"US",15,FALSE,FALSE,FALSE,FALSE,FALSE
"16",16,"SS1608764928854",FALSE,FALSE,"US",16,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"US",16,FALSE,FALSE,FALSE,FALSE,FALSE
"17",17,"SS1608765105161",FALSE,FALSE,"US",17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",17,FALSE,FALSE,FALSE,FALSE,FALSE
"18",18,"SS1608765292402",FALSE,FALSE,"US",18,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"US",18,FALSE,FALSE,FALSE,FALSE,FALSE
"19",19,"SS1608765554635",FALSE,TRUE,"US",19,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"US",19,FALSE,FALSE,FALSE,FALSE,FALSE
"20",20,"SS1608765717953",FALSE,FALSE,"US",20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",20,FALSE,FALSE,FALSE,FALSE,FALSE
"21",21,"SS1608766095260",FALSE,TRUE,"US",21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",21,FALSE,FALSE,FALSE,FALSE,FALSE
"22",22,"SS1608766593457",FALSE,FALSE,"US",22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",22,FALSE,FALSE,FALSE,FALSE,FALSE
"23",23,"SS1608766617789",FALSE,TRUE,"US",23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",23,FALSE,FALSE,FALSE,FALSE,FALSE
"24",24,"SS1608766942272",FALSE,FALSE,"US",24,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"US",24,FALSE,FALSE,FALSE,FALSE,FALSE
"25",25,"SS1608767066841",TRUE,TRUE,"US",25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",25,FALSE,FALSE,FALSE,FALSE,FALSE
"26",26,"SS1608767257570",FALSE,FALSE,"US",26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",26,FALSE,FALSE,FALSE,FALSE,FALSE
"27",27,"SS1608768789316",FALSE,TRUE,"US",27,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"US",27,FALSE,FALSE,FALSE,FALSE,FALSE
"28",28,"SS1608769719671",TRUE,TRUE,"US",28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",28,FALSE,FALSE,FALSE,FALSE,FALSE
"29",29,"SS1608770272900",FALSE,FALSE,"US",29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",29,FALSE,FALSE,FALSE,FALSE,FALSE
"30",30,"SS1608771762929",FALSE,TRUE,"US",30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",30,FALSE,FALSE,FALSE,FALSE,FALSE
"31",31,"SS1608773085433",FALSE,FALSE,"US",31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",31,FALSE,FALSE,FALSE,FALSE,FALSE
"32",32,"SS1608774634252",FALSE,FALSE,"US",32,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"US",32,FALSE,FALSE,FALSE,FALSE,FALSE
"33",33,"SS1608775395629",FALSE,FALSE,"US",33,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"US",33,FALSE,FALSE,FALSE,FALSE,FALSE
"34",34,"SS1608775531570",FALSE,FALSE,"US",34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",34,FALSE,FALSE,FALSE,FALSE,FALSE
"35",35,"SS1608775703963",FALSE,FALSE,"US",35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",35,FALSE,FALSE,FALSE,FALSE,FALSE
"36",36,"SS1608781013661",FALSE,FALSE,"US",36,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"US",36,FALSE,FALSE,FALSE,FALSE,FALSE
"37",37,"SS1608785293132",TRUE,FALSE,"US",37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",37,FALSE,FALSE,FALSE,FALSE,FALSE
"38",38,"SS1608785426067",FALSE,FALSE,"US",38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",38,FALSE,FALSE,FALSE,FALSE,FALSE
"39",39,"SS1608785674688",TRUE,FALSE,"US",39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",39,FALSE,FALSE,FALSE,FALSE,FALSE
"40",40,"SS1608787713278",FALSE,FALSE,"US",40,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",40,FALSE,FALSE,FALSE,FALSE,FALSE
"41",41,"SS1608788427161",FALSE,FALSE,"US",41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",41,FALSE,FALSE,FALSE,FALSE,FALSE
"42",42,"SS1608788987298",FALSE,TRUE,"US",42,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",42,FALSE,FALSE,FALSE,FALSE,FALSE
"43",43,"SS1608790005674",FALSE,FALSE,"US",43,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",43,FALSE,FALSE,FALSE,FALSE,FALSE
"44",44,"SS1608790890814",FALSE,FALSE,"US",44,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"US",44,FALSE,FALSE,FALSE,FALSE,FALSE
"45",45,"SS1608791220883",FALSE,FALSE,"US",45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",45,FALSE,FALSE,FALSE,FALSE,FALSE
"46",46,"SS1608792549625",FALSE,FALSE,"US",46,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",46,FALSE,FALSE,FALSE,FALSE,FALSE
"47",47,"SS1608793140128",FALSE,TRUE,"US",47,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"US",47,FALSE,FALSE,FALSE,FALSE,FALSE
"48",48,"SS1608794984596",FALSE,FALSE,"US",48,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",48,FALSE,FALSE,FALSE,FALSE,FALSE
"49",49,"SS1608797392775",FALSE,FALSE,"US",49,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"US",49,FALSE,FALSE,FALSE,FALSE,FALSE
"50",50,"SS1608813710413",FALSE,FALSE,"US",50,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",50,FALSE,FALSE,FALSE,FALSE,FALSE
"51",51,"SS1608816457066",TRUE,FALSE,"US",51,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"US",51,FALSE,FALSE,FALSE,FALSE,FALSE
"52",52,"SS1608817521759",FALSE,TRUE,"US",52,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"US",52,FALSE,FALSE,FALSE,FALSE,FALSE
"53",53,"SS1608824272594",FALSE,TRUE,"US",53,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"US",53,FALSE,FALSE,FALSE,FALSE,FALSE
"54",54,"SS1608831660664",FALSE,FALSE,"US",54,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",54,FALSE,FALSE,FALSE,FALSE,FALSE
"55",55,"SS1608833527308",FALSE,TRUE,"US",55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",55,FALSE,FALSE,FALSE,FALSE,FALSE
"56",56,"SS1608834401052",FALSE,FALSE,"US",56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",56,FALSE,FALSE,FALSE,FALSE,FALSE
"57",57,"SS1608836237583",FALSE,FALSE,"US",57,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"US",57,FALSE,FALSE,FALSE,FALSE,FALSE
"58",58,"SS1608836302253",FALSE,FALSE,"US",58,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",58,FALSE,FALSE,FALSE,FALSE,FALSE
"59",59,"SS1608839691941",FALSE,FALSE,"US",59,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",59,FALSE,FALSE,FALSE,FALSE,FALSE
"60",60,"SS1608840412635",FALSE,FALSE,"US",60,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",60,FALSE,FALSE,FALSE,FALSE,FALSE
"61",61,"SS1608842254932",FALSE,TRUE,"US",61,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"US",61,FALSE,FALSE,FALSE,FALSE,FALSE
"62",62,"SS1608843808592",FALSE,FALSE,"US",62,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",62,FALSE,FALSE,FALSE,FALSE,FALSE
"63",63,"SS1608844365620",TRUE,FALSE,"US",63,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"US",63,FALSE,FALSE,FALSE,FALSE,FALSE
"64",64,"SS1608846102155",FALSE,FALSE,"US",64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",64,FALSE,FALSE,FALSE,FALSE,FALSE
"65",65,"SS1608850322225",FALSE,TRUE,"US",65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",65,FALSE,FALSE,FALSE,FALSE,FALSE
"66",66,"SS1608853349801",FALSE,FALSE,"US",66,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"US",66,FALSE,FALSE,FALSE,FALSE,FALSE
"67",67,"SS1608858288834",FALSE,TRUE,"US",67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",67,FALSE,FALSE,FALSE,FALSE,FALSE
"68",68,"SS1608863463604",FALSE,TRUE,"US",68,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",68,FALSE,FALSE,FALSE,FALSE,FALSE
"69",69,"SS1608863916558",TRUE,FALSE,"US",69,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",69,FALSE,FALSE,FALSE,FALSE,FALSE
"70",70,"SS1608882192490",FALSE,FALSE,"US",70,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"US",70,FALSE,FALSE,FALSE,FALSE,FALSE
"71",71,"SS1608892981654",FALSE,TRUE,"US",71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",71,FALSE,FALSE,FALSE,FALSE,FALSE
"72",72,"SS1608962227801",FALSE,FALSE,"US",72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",72,FALSE,FALSE,FALSE,FALSE,FALSE
"73",73,"SS1608967838850",FALSE,FALSE,"US",73,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",73,FALSE,FALSE,FALSE,FALSE,FALSE
"74",74,"SS1608994545018",FALSE,TRUE,"US",74,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"US",74,FALSE,FALSE,FALSE,FALSE,FALSE
"75",75,"SS1608999598751",FALSE,FALSE,"US",75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",75,FALSE,FALSE,FALSE,FALSE,FALSE
"76",76,"SS1609003293575",FALSE,FALSE,"US",76,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",76,FALSE,FALSE,FALSE,FALSE,FALSE
"77",77,"SS1609018219931",FALSE,FALSE,"US",77,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",77,FALSE,FALSE,FALSE,FALSE,FALSE
"78",78,"SS1609018845974",FALSE,FALSE,"US",78,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"US",78,FALSE,FALSE,FALSE,FALSE,FALSE
"79",79,"SS1609019254082",FALSE,FALSE,"US",79,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",79,FALSE,FALSE,FALSE,FALSE,FALSE
"80",80,"SS1609019285444",FALSE,FALSE,"US",80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",80,FALSE,FALSE,FALSE,FALSE,FALSE
"81",81,"SS1609038733525",FALSE,FALSE,"US",81,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"US",81,FALSE,FALSE,FALSE,FALSE,FALSE
"82",82,"SS1609094228968",FALSE,FALSE,"US",82,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",82,FALSE,FALSE,FALSE,FALSE,FALSE
"83",83,"SS1609116678756",FALSE,TRUE,"US",83,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",83,FALSE,FALSE,FALSE,FALSE,FALSE
"84",84,"SS1609137272097",TRUE,FALSE,"US",84,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",84,FALSE,FALSE,FALSE,FALSE,FALSE
"85",85,"SS1609213660616",FALSE,FALSE,"US",85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",85,FALSE,FALSE,FALSE,FALSE,FALSE
"86",86,"SS1609273135099",FALSE,FALSE,"US",86,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",86,FALSE,FALSE,FALSE,FALSE,FALSE
"87",87,"SS1609275824977",FALSE,FALSE,"US",87,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",87,FALSE,FALSE,FALSE,FALSE,FALSE
"88",88,"SS1609422514703",FALSE,TRUE,"US",88,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"US",88,FALSE,FALSE,FALSE,FALSE,FALSE
"89",89,"SS1609540175257",FALSE,FALSE,"US",89,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",89,FALSE,FALSE,FALSE,FALSE,FALSE
"90",90,"SS1609542930348",FALSE,TRUE,"US",90,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"US",90,FALSE,FALSE,FALSE,FALSE,FALSE
"91",91,"SS1609545235915",FALSE,FALSE,"US",91,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",91,FALSE,FALSE,FALSE,FALSE,FALSE
"92",92,"SS1609749305068",TRUE,FALSE,"US",92,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",92,FALSE,FALSE,FALSE,FALSE,FALSE
"93",93,"SS1609779053659",TRUE,TRUE,"US",93,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",93,FALSE,FALSE,FALSE,FALSE,FALSE
"94",94,"SS1609790990010",FALSE,FALSE,"US",94,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",94,FALSE,FALSE,FALSE,FALSE,FALSE
"95",95,"SS1609815670698",FALSE,FALSE,"US",95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",95,FALSE,FALSE,FALSE,FALSE,FALSE
"96",96,"SS1609865763238",TRUE,TRUE,"US",96,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",96,FALSE,FALSE,FALSE,FALSE,FALSE
"97",97,"SS1609866138497",FALSE,TRUE,"US",97,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",97,FALSE,FALSE,FALSE,FALSE,FALSE
"98",98,"SS1609871022738",FALSE,TRUE,"US",98,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",98,FALSE,FALSE,FALSE,FALSE,FALSE
"99",99,"SS1609871316276",FALSE,TRUE,"US",99,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"US",99,FALSE,FALSE,FALSE,FALSE,FALSE
"100",100,"SS1609872764219",FALSE,FALSE,"US",100,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"US",100,FALSE,FALSE,FALSE,FALSE,FALSE
"101",101,"SS1609875801466",TRUE,TRUE,"US",101,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",101,FALSE,FALSE,FALSE,FALSE,FALSE
"102",102,"SS1609876581813",FALSE,TRUE,"US",102,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",102,FALSE,FALSE,FALSE,FALSE,FALSE
"103",103,"SS1609881975445",FALSE,FALSE,"US",103,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",103,FALSE,FALSE,FALSE,FALSE,FALSE
"104",104,"SS1609882680132",FALSE,FALSE,"US",104,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"US",104,FALSE,FALSE,FALSE,FALSE,FALSE
"105",105,"SS1609887442337",FALSE,TRUE,"US",105,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",105,FALSE,FALSE,FALSE,FALSE,FALSE
"106",106,"SS1609887605849",FALSE,FALSE,"US",106,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",106,FALSE,FALSE,FALSE,FALSE,FALSE
"107",107,"SS1609894664188",FALSE,FALSE,"US",107,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",107,FALSE,FALSE,FALSE,FALSE,FALSE
"108",108,"SS1610325353924",FALSE,FALSE,"US",108,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",108,FALSE,FALSE,FALSE,FALSE,FALSE
"109",109,"SS1610329115213",FALSE,FALSE,"US",109,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",109,FALSE,FALSE,FALSE,FALSE,FALSE
"110",110,"SS1610329585116",FALSE,FALSE,"US",110,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",110,FALSE,FALSE,FALSE,FALSE,FALSE
"111",111,"SS1610329892969",FALSE,FALSE,"US",111,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",111,FALSE,FALSE,FALSE,FALSE,FALSE
"112",112,"SS1610329967001",FALSE,FALSE,"US",112,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"US",112,FALSE,FALSE,FALSE,FALSE,FALSE
"113",113,"SS1610330188396",FALSE,TRUE,"US",113,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",113,FALSE,FALSE,FALSE,FALSE,FALSE
"114",114,"SS1610330884682",TRUE,TRUE,"US",114,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",114,FALSE,FALSE,FALSE,FALSE,FALSE
"115",115,"SS1610331114334",FALSE,FALSE,"US",115,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",115,FALSE,FALSE,FALSE,FALSE,FALSE
"116",116,"SS1610331677410",FALSE,FALSE,"US",116,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"US",116,FALSE,FALSE,FALSE,FALSE,FALSE
"117",117,"SS1610333744597",FALSE,FALSE,"US",117,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"US",117,FALSE,FALSE,FALSE,FALSE,FALSE
"118",118,"SS1610333927237",FALSE,FALSE,"US",118,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",118,FALSE,FALSE,FALSE,FALSE,TRUE
"119",119,"SS1610335532506",FALSE,FALSE,"US",119,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",119,FALSE,FALSE,FALSE,FALSE,FALSE
"120",120,"SS1610337476353",FALSE,FALSE,"US",120,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",120,FALSE,FALSE,FALSE,FALSE,FALSE
"121",121,"SS1610337657231",FALSE,FALSE,"US",121,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",121,FALSE,FALSE,FALSE,FALSE,FALSE
"122",122,"SS1610339757988",TRUE,TRUE,"US",122,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",122,FALSE,FALSE,FALSE,FALSE,FALSE
"123",123,"SS1610345616058",FALSE,FALSE,"US",123,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"US",123,FALSE,FALSE,FALSE,FALSE,FALSE
"124",124,"SS1610349328979",FALSE,FALSE,"US",124,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",124,FALSE,FALSE,FALSE,FALSE,FALSE
"125",125,"SS1610349331747",FALSE,FALSE,"US",125,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"US",125,FALSE,FALSE,FALSE,FALSE,FALSE
"126",126,"SS1610353379381",FALSE,FALSE,"US",126,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",126,FALSE,FALSE,FALSE,FALSE,FALSE
"127",127,"SS1610379831079",FALSE,FALSE,"US",127,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",127,FALSE,FALSE,FALSE,FALSE,FALSE
"128",128,"SS1610385985080",TRUE,TRUE,"US",128,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"US",128,FALSE,FALSE,FALSE,FALSE,FALSE
"129",129,"SS1610399675293",FALSE,FALSE,"US",129,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",129,FALSE,FALSE,FALSE,FALSE,TRUE
"130",130,"SS1610411161959",FALSE,TRUE,"US",130,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",130,FALSE,FALSE,FALSE,FALSE,FALSE
"131",131,"SS1610422818643",FALSE,FALSE,"US",131,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",131,FALSE,FALSE,FALSE,FALSE,FALSE
"132",132,"SS1610428916963",FALSE,FALSE,"US",132,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",132,FALSE,FALSE,FALSE,FALSE,FALSE
"133",133,"SS1610431776823",FALSE,TRUE,"US",133,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",133,FALSE,FALSE,FALSE,FALSE,FALSE
"134",134,"SS1610483870992",FALSE,FALSE,"US",134,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",134,FALSE,FALSE,FALSE,FALSE,FALSE
"135",135,"SS1610486372688",FALSE,FALSE,"US",135,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"US",135,FALSE,FALSE,FALSE,FALSE,FALSE
"136",136,"SS1610565350865",FALSE,FALSE,"US",136,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",136,FALSE,FALSE,FALSE,FALSE,FALSE
"137",137,"SS1610575392391",FALSE,FALSE,"US",137,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",137,FALSE,FALSE,FALSE,FALSE,FALSE
"138",138,"SS1610579455766",FALSE,TRUE,"US",138,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",138,FALSE,FALSE,FALSE,FALSE,FALSE
"139",139,"SS1610579566609",FALSE,FALSE,"US",139,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",139,FALSE,FALSE,FALSE,FALSE,FALSE
"140",140,"SS1610580390276",FALSE,FALSE,"US",140,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",140,FALSE,FALSE,FALSE,FALSE,FALSE
"141",141,"SS1610582637995",FALSE,TRUE,"US",141,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",141,FALSE,FALSE,FALSE,FALSE,FALSE
"142",142,"SS1610583961642",FALSE,FALSE,"US",142,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",142,FALSE,FALSE,FALSE,FALSE,FALSE
"143",143,"SS1610588311801",FALSE,FALSE,"US",143,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",143,FALSE,FALSE,FALSE,FALSE,FALSE
"144",144,"SS1610591368593",FALSE,FALSE,"US",144,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"US",144,FALSE,FALSE,FALSE,FALSE,FALSE
"145",145,"SS1610597241570",FALSE,FALSE,"US",145,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",145,FALSE,FALSE,FALSE,FALSE,FALSE
"146",146,"SS1610598388740",FALSE,FALSE,"US",146,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",146,FALSE,FALSE,FALSE,FALSE,FALSE
"147",147,"SS1610598730214",FALSE,FALSE,"US",147,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",147,FALSE,FALSE,FALSE,FALSE,FALSE
"148",148,"SS1610603063441",FALSE,FALSE,"US",148,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",148,FALSE,FALSE,FALSE,FALSE,FALSE
"149",149,"SS1610641894562",FALSE,FALSE,"US",149,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",149,FALSE,FALSE,FALSE,FALSE,FALSE
"150",150,"SS1610649528260",FALSE,TRUE,"US",150,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"US",150,FALSE,FALSE,FALSE,FALSE,FALSE
"151",151,"SS1610656625152",FALSE,FALSE,"US",151,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",151,FALSE,FALSE,FALSE,FALSE,FALSE
"152",152,"SS1610672104359",FALSE,FALSE,"US",152,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",152,FALSE,FALSE,FALSE,FALSE,FALSE
"153",153,"SS1610677720145",FALSE,FALSE,"US",153,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"US",153,FALSE,FALSE,FALSE,FALSE,FALSE
"154",154,"SS1610745171034",FALSE,FALSE,"US",154,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"US",154,FALSE,FALSE,FALSE,FALSE,FALSE
