subject,circle_id,circle_number,codeable,me_circle,x,y,radius
SS1608681385583,circle1,1,0,0,331,123,82.36504113
SS1608688168812,circle2,1,1,1,364,253,56.85068161
SS1608688168812,circle2,2,1,0,196,284,46.75467891
SS1608688168812,circle2,3,1,0,144,113,80.72174428
SS1608688168812,circle2,4,1,0,319,85,67.26812024
SS1608688168812,circle2,5,1,0,448,300,14.86606875
SS1608700105054,circle3,1,1,1,89,234,76.69419796
SS1608700105054,circle3,2,1,0,263,231,56.61271942
SS1608700105054,circle3,3,1,0,411,225,49.09175083
SS1608700105054,circle3,4,1,0,524,217,48.82622246
SS1608700127333,circle4,1,1,1,170,142,35.38361203
SS1608700127333,circle4,2,1,0,350,150,86.31338251
SS1608700127333,circle4,3,1,0,97,266,63.51377803
SS1608700127333,circle4,4,1,0,222,255,40.49691346
SS1608700397099,circle5,1,1,1,375,349,36.67424164
SS1608700397099,circle5,2,1,0,471,336,53.85164807
SS1608700397099,circle5,3,1,0,238,292,86.21484791
SS1608700397099,circle5,4,1,0,629,255,103.0048543
SS1608705551890,circle6,1,1,1,362,171,67.2086304
SS1608705551890,circle6,2,1,0,610,193,30.41381265
SS1608705551890,circle6,3,1,0,459,418,126.574089
SS1608708437584,circle7,1,1,1,333,235,32.24903099
SS1608708437584,circle7,2,1,0,229,66,58.25804665
SS1608708437584,circle7,3,1,0,429,45,64.81512169
SS1608708437584,circle7,4,1,0,457,203,49.81967483
SS1608709300687,circle8,1,1,1,98,73,63.69458376
SS1608709300687,circle8,2,1,0,186,146,47.5394573
SS1608709300687,circle8,3,1,0,277,180,37.57658846
SS1608709300687,circle8,4,1,0,365,122,63.15061362
SS1608709300687,circle8,5,1,0,480,137,58.13776741
SS1608709300687,circle8,6,1,0,187,365,143.1782106
SS1608709300687,circle8,7,1,0,439,352,149.6930192
SS1608737929527,circle9,1,1,1,184,139,71.34423593
SS1608737929527,circle9,2,1,0,382,239,72.47068373
SS1608737929527,circle9,3,1,0,318,382,70.45565982
SS1608737929527,circle9,4,1,0,527,341,81.83520025
SS1608750563425,circle10,1,0,0,344,245,76.40026178
SS1608759071639,circle11,1,1,1,420,196,42.52058325
SS1608759071639,circle11,2,1,0,236,177,43.27817002
SS1608759071639,circle11,3,1,0,319,60,54.91812087
SS1608759071639,circle11,4,1,0,478,65,55.22680509
SS1608764841871,circle12,1,1,1,374,255,73.00684899
SS1608764841871,circle12,2,1,0,593,145,106.0660172
SS1608764841871,circle12,3,1,0,147,146,132.3064624
SS1608764844416,circle13,1,0,0,275,271,69.3108938
SS1608764928854,circle14,1,0,0,274,301,63.5295207
SS1608764928854,circle14,2,0,0,388,151,70.83784299
SS1608764928854,circle14,3,0,0,399,378,94.26027795
SS1608764928854,circle14,4,0,0,589,449,150.4460036
SS1608764928854,circle14,5,0,0,171,410,94.9210198
SS1608765105161,circle15,1,1,1,330,189,47.16990566
SS1608765105161,circle15,2,1,0,423,292,45.88027899
SS1608765105161,circle15,3,1,0,518,226,45.17742799
SS1608765292402,circle16,1,0,0,299,211,129.8499134
SS1608765554635,circle17,1,0,0,269,145,132.3102415
SS1608765717953,circle18,1,1,1,155,156,58.6003413
SS1608765717953,circle18,2,1,0,294,127,53.81449619
SS1608765717953,circle18,3,1,0,407,120,53.53503526
SS1608765717953,circle18,4,1,0,366,275,57.80138407
SS1608766095260,circle19,1,1,1,332,170,108.8117641
SS1608766095260,circle19,2,1,0,531,80,55.6057551
SS1608766095260,circle19,3,1,0,509,259,64.66065264
SS1608766095260,circle19,4,1,0,114,269,141.509717
SS1608766095260,circle19,5,1,0,275,391,147.6482306
SS1608766593457,circle20,1,1,1,76,181,82.15229759
SS1608766593457,circle20,2,1,0,239,189,185
SS1608766593457,circle20,3,1,0,548,160,58.30951895
SS1608766617789,circle21,1,1,1,515,345,114.5600279
SS1608766617789,circle21,2,1,0,92,153,107.9351657
SS1608766617789,circle21,3,1,0,343,82,91.67878708
SS1608766942272,circle22,1,0,0,254,112,98.50888285
SS1608767066841,circle23,1,1,1,229,89,96.04686356
SS1608767066841,circle23,2,1,0,479,146,130.7287268
SS1608767066841,circle23,3,1,0,181,276,107.54069
SS1608768789316,circle24,1,0,0,216,167,89.27485648
SS1608769719671,circle25,1,1,1,356,222,52.69724851
SS1608769719671,circle25,2,1,0,540,223,106.1743849
SS1608769719671,circle25,3,1,0,261,309,100.0049999
SS1608769719671,circle25,4,1,0,506,487,32.55764119
SS1608770272900,circle26,1,1,0,286,229,105.1189802
SS1608770272900,circle26,2,1,0,485,184,109.603832
SS1608770272900,circle26,3,1,0,320,425,104.4844486
SS1608770272900,circle26,4,1,1,511,387,179.2456415
SS1608771762929,circle27,1,1,1,304,132,81.46778504
SS1608771762929,circle27,2,1,0,459,53,78.54934755
SS1608771762929,circle27,3,1,0,596,95,69.52697318
SS1608771762929,circle27,4,1,0,229,325,71.69379332
SS1608771762929,circle27,5,1,0,418,254,81.04936767
SS1608771762929,circle27,6,1,0,590,266,80.0624756
SS1608773085433,circle28,1,1,0,251,138,76.85050423
SS1608773085433,circle28,2,1,0,424,130,174.4133022
SS1608773085433,circle28,3,1,1,117,298,153.1698404
SS1608774634252,circle29,1,0,0,180,128,89.69392399
SS1608775395629,circle30,1,0,0,263,188,39.8246155
SS1608775531570,circle31,1,1,1,307,88,52.35456045
SS1608775531570,circle31,2,1,0,446,145,57.62811814
SS1608775531570,circle31,3,1,0,576,119,51.0881591
SS1608775531570,circle31,4,1,0,291,183,63.63961031
SS1608775531570,circle31,5,1,0,364,250,93.43446901
SS1608775531570,circle31,6,1,0,563,203,53.53503526
SS1608781013661,circle32,1,0,0,446,135,210.8885962
SS1608785293132,circle33,1,1,0,457,145,87.80091116
SS1608785293132,circle33,2,1,0,350,302,94.5568612
SS1608785293132,circle33,3,1,0,580,246,67.35725648
SS1608785293132,circle33,4,1,1,273,135,65.73431372
SS1608785426067,circle34,1,1,0,92,90,78.49203781
SS1608785426067,circle34,2,1,0,270,103,85.70297544
SS1608785426067,circle34,3,1,1,181,316,64.14047084
SS1608785426067,circle34,4,1,0,399,222,60
SS1608787713278,circle35,1,1,1,322,280,69.46221995
SS1608787713278,circle35,2,1,0,470,254,156.952222
SS1608788427161,circle36,1,1,1,69,85,40.71854614
SS1608788427161,circle36,2,1,0,276,219,77.89736838
SS1608788427161,circle36,3,1,0,440,68,71.42128534
SS1608788427161,circle36,4,1,0,459,271,54.7813837
SS1608788427161,circle36,5,1,0,306,375,67.47592163
SS1608788987298,circle37,1,1,1,388,248,76.84399781
SS1608788987298,circle37,2,1,0,531,34,157.0986951
SS1608788987298,circle37,3,1,0,134,58,186.2525168
SS1608788987298,circle37,4,1,0,215,268,94.86832981
SS1608790890814,circle38,1,0,0,95,93,78.0320447
SS1608791220883,circle39,1,1,1,277,161,191.2537581
SS1608791220883,circle39,2,1,0,539,420,141.4496377
SS1608791220883,circle39,3,1,0,588,99,94.59386872
SS1608792549625,circle40,1,1,0,169,57,38.60051813
SS1608792549625,circle40,2,1,0,495,171,87.658428
SS1608792549625,circle40,3,1,0,167,210,94.33981132
SS1608792549625,circle40,4,1,0,457,302,76.85050423
SS1608792549625,circle40,5,1,1,156,373,73.23933369
SS1608794984596,circle41,1,1,1,256,96,73.87827827
SS1608794984596,circle41,2,1,0,441,72,75
SS1608794984596,circle41,3,1,0,346,204,60.00833275
SS1608794984596,circle41,4,1,0,505,211,42.42640687
SS1608794984596,circle41,5,1,0,77,278,133.1953453
SS1608794984596,circle41,6,1,0,514,397,130.2996546
SS1608797392775,circle42,1,0,0,200,182,137.6444696
SS1608816457066,circle43,1,0,0,407,218,113.3578405
SS1608817521759,circle44,1,0,0,378,151,69.3108938
SS1608831660664,circle45,1,1,1,237,188,53.26349594
