subject,which_regions,demog_question,demog_response,culture
SS1608681385583,character(0),zipcode,950,US
SS1608681385583,character(0),resimobinum,2,US
SS1608681385583,character(0),abroadexp,No,US
SS1608681385583,character(0),overseaexpnum,Six or more experiences,US
SS1608681385583,character(0),firstlanguage,Yes,US
SS1608681385583,character(0),monolingual,"Yes, I am multilingual",US
SS1608681385583,character(0),targetlanguage,Yes,US
SS1608681385583,character(0),objectiveses,Four-/Five-year college Bachelor's degree,US
SS1608681385583,character(0),subjectiveses,9,US
SS1608688168812,character(0),zipcode,441,US
SS1608688168812,character(0),resimobinum,4,US
SS1608688168812,character(0),abroadexp,No,US
SS1608688168812,character(0),overseaexpnum,Six or more experiences,US
SS1608688168812,character(0),firstlanguage,Yes,US
SS1608688168812,character(0),monolingual,"Yes, I am multilingual",US
SS1608688168812,character(0),targetlanguage,No,US
SS1608688168812,character(0),objectiveses,"One or more years of college, no degree",US
SS1608688168812,character(0),subjectiveses,7,US
SS1608698511254,character(0),zipcode,900,US
SS1608698511254,character(0),resimobinum,3,US
SS1608698511254,character(0),abroadexp,No,US
SS1608698511254,character(0),overseaexpnum,Six or more experiences,US
SS1608698511254,character(0),firstlanguage,Yes,US
SS1608698511254,character(0),monolingual,"Yes, I am multilingual",US
SS1608698511254,character(0),targetlanguage,Yes,US
SS1608698511254,character(0),objectiveses,Four-/Five-year college Bachelor's degree,US
SS1608698511254,character(0),subjectiveses,4,US
SS1608700105054,character(0),zipcode,928,US
SS1608700105054,character(0),resimobinum,2,US
SS1608700105054,character(0),abroadexp,No,US
SS1608700105054,character(0),overseaexpnum,Three to five experiences,US
SS1608700105054,character(0),firstlanguage,Yes,US
SS1608700105054,character(0),monolingual,"Yes, I am multilingual",US
SS1608700105054,character(0),targetlanguage,No,US
SS1608700105054,character(0),objectiveses,"One or more years of college, no degree",US
SS1608700105054,character(0),subjectiveses,3,US
SS1608700127333,"c(""North America"", ""South America"")",zipcode,334,US
SS1608700127333,"c(""North America"", ""South America"")",resimobinum,3,US
SS1608700127333,"c(""North America"", ""South America"")",abroadexp,Yes,US
SS1608700127333,"c(""North America"", ""South America"")",overseaexpnum,One experience,US
SS1608700127333,"c(""North America"", ""South America"")",firstlanguage,No,US
SS1608700127333,"c(""North America"", ""South America"")",monolingual,"Yes, I am multilingual",US
SS1608700127333,"c(""North America"", ""South America"")",targetlanguage,Yes,US
SS1608700127333,"c(""North America"", ""South America"")",objectiveses,Two-year college degree/vocational school,US
SS1608700127333,"c(""North America"", ""South America"")",subjectiveses,3,US
SS1608700397099,character(0),zipcode,940,US
SS1608700397099,character(0),resimobinum,2,US
SS1608700397099,character(0),abroadexp,No,US
SS1608700397099,character(0),overseaexpnum,Three to five experiences,US
SS1608700397099,character(0),firstlanguage,Yes,US
SS1608700397099,character(0),monolingual,"No, just English",US
SS1608700397099,character(0),targetlanguage,No,US
SS1608700397099,character(0),objectiveses,"One or more years of college, no degree",US
SS1608700397099,character(0),subjectiveses,9,US
SS1608704367900,character(0),zipcode,932,US
SS1608704367900,character(0),resimobinum,1,US
SS1608704367900,character(0),abroadexp,No,US
SS1608704367900,character(0),overseaexpnum,No experiences,US
SS1608704367900,character(0),firstlanguage,Yes,US
SS1608704367900,character(0),monolingual,"No, just English",US
SS1608704367900,character(0),targetlanguage,No,US
SS1608704367900,character(0),objectiveses,High school graduate/GED,US
SS1608704367900,character(0),subjectiveses,5,US
SS1608705551890,character(0),zipcode,,US
SS1608705551890,character(0),resimobinum,1,US
SS1608705551890,character(0),abroadexp,No,US
SS1608705551890,character(0),overseaexpnum,Six or more experiences,US
SS1608705551890,character(0),firstlanguage,Yes,US
SS1608705551890,character(0),monolingual,"Yes, I am multilingual",US
SS1608705551890,character(0),targetlanguage,No,US
SS1608705551890,character(0),objectiveses,"One or more years of college, no degree",US
SS1608705551890,character(0),subjectiveses,7,US
SS1608708437584,character(0),zipcode,936,US
SS1608708437584,character(0),resimobinum,2,US
SS1608708437584,character(0),abroadexp,No,US
SS1608708437584,character(0),overseaexpnum,One experience,US
SS1608708437584,character(0),firstlanguage,Yes,US
SS1608708437584,character(0),monolingual,"No, just English",US
SS1608708437584,character(0),targetlanguage,No,US
SS1608708437584,character(0),objectiveses,"One or more years of college, no degree",US
SS1608708437584,character(0),subjectiveses,5,US
SS1608709300687,"c(""North America"", ""Asia"")",zipcode,891,US
