subject,culture,task_name,stimulus,trial_raw,trial_num,codeable,first_mention_focal,coder
SS1651544690789,CN,FD,media/images/free_description/01-boat-river.jpg,松鼠,4,0,0,ACAO
SS1651652206023,CN,FD,media/images/free_description/01-boat-river.jpg,图片给我一种阴雨绵绵的感觉，画面里没有人，只有破败的房子，肮脏的河道，还有一只小船。整个画面给人的感觉不舒服。,5,1,0,ACAO
SS1651765169248,CN,FD,media/images/free_description/01-boat-river.jpg,一只可爱的松鼠抱在树枝上,7,0,0,ACAO
SS1651737005457,CN,FD,media/images/free_description/01-boat-river.jpg,"图片左边有一排房子。
右边部分有一条小河，河里有一艘小船",1,1,0,ACAO
SS1651731235827,CN,FD,media/images/free_description/01-boat-river.jpg,小木船停靠在岸边,6,1,1,ACAO
SS1651804768520,CN,FD,media/images/free_description/01-boat-river.jpg,一条船靠在岸边，岸上是一个小村庄，有很多草和房子，看起来很惬意。,2,1,1,ACAO
SS1651840732818,CN,FD,media/images/free_description/01-boat-river.jpg,小船停泊在岸边，岸上植物茂盛,5,0,0,ACAO
SS1651813057402,CN,FD,media/images/free_description/01-boat-river.jpg,"火车在轨道上停驶着。
",6,0,0,ACAO
SS1651568252846,CN,FD,media/images/free_description/01-boat-river.jpg,上世纪的红黑色火车，看起来像是英国的，轮子特别大,7,0,0,ACAO
SS1651842824466,CN,FD,media/images/free_description/01-boat-river.jpg,图中有一条河，河旁边有一座房子，靠近船的地方还有一条船。,3,1,0,ACAO
SS1651666650135,CN,FD,media/images/free_description/01-boat-river.jpg,有一条河，岸边停靠着一只小木船，岸上有树和房子，天是蓝色的,1,1,0,ACAO
SS1651705155608,CN,FD,media/images/free_description/01-boat-river.jpg,一艘木舟停靠在小溪旁边的草地上,6,1,1,ACAO
SS1651807671427,CN,FD,media/images/free_description/01-boat-river.jpg,一只可爱的松鼠，充满生机的树，鲜艳的花,4,0,0,ACAO
SS1651771465459,CN,FD,media/images/free_description/01-boat-river.jpg,像电视里的江南水乡，被两岸绿叶鲜草包裹住的河流，河里安静等着一片小舟，舟上没有人，散乱着扫把什么的生活用品。岸上是具有当地特色的房子，很温馨热闹,6,1,0,ACAO
SS1651732296508,CN,FD,media/images/free_description/01-boat-river.jpg,蓝色的天空,5,1,0,ACAO
SS1651897042062,CN,FD,media/images/free_description/01-boat-river.jpg,一只松鼠趴在树枝上，树枝上有很多绿叶。,4,0,0,ACAO
SS1651906687128,CN,FD,media/images/free_description/01-boat-river.jpg,船靠岸停放。下船后是房子。还有很多绿植,3,1,0,ACAO
SS1651837683659,CN,FD,media/images/free_description/01-boat-river.jpg,一条小船停下乡下的小河里,6,1,0,ACAO
SS1651568382617,CN,FD,media/images/free_description/01-boat-river.jpg,一辆自行车停在路旁，旁边有个房子,2,0,0,ACAO
SS1651636059839,CN,FD,media/images/free_description/02-bike.jpg,一辆红色自行车拴在柱子上，后边是草坪和图书馆,2,1,1,ACAO
SS1651934015946,CN,FD,media/images/free_description/02-bike.jpg,绿色的草地前有一辆红色自行车。草地的后面是一堵墙，可能是银行。,1,1,0,ACAO
SS1651645903803,CN,FD,media/images/free_description/02-bike.jpg,一条铁轨上，有一辆火车正开过来，火车头上标记着有2119这几个数字。,4,0,0,ACAO
SS1651748703908,CN,FD,media/images/free_description/02-bike.jpg,在绿色的草坪旁有一辆自行车停在路边,3,1,0,ACAO
SS1651545081461,CN,FD,media/images/free_description/02-bike.jpg,有一个红色的自行车，后面是草地,7,1,1,ACAO
SS1651906591158,CN,FD,media/images/free_description/02-bike.jpg,一个老虎在河边喝水看着另一边,7,0,0,ACAO
SS1651545285513,CN,FD,media/images/free_description/02-bike.jpg,有一辆自行车被锁在了草丛边,3,1,1,ACAO
