subject,circle_id,circle_number,codeable,me_circle,x,y,radius
SS1609038166902,circle41,2,1,0,278,91,82.03657721
SS1609038166902,circle41,3,1,0,451,92,79.40403012
SS1609038166902,circle41,4,1,0,632,102,78.39005039
SS1609038166902,circle41,5,1,0,99,291,89.88882022
SS1609038166902,circle41,6,1,1,282,283,87.66413178
SS1609038359555,circle42,1,1,1,392,369,119.0168055
SS1609038359555,circle42,2,1,0,189,203,144.7791421
SS1609038359555,circle42,3,1,0,598,216,139.7139936
SS1609040322263,circle43,1,1,1,335,255,120.2538981
SS1609040322263,circle43,2,1,0,494,233,134.0634178
SS1609040322263,circle43,3,1,0,388,408,179.4268653
SS1609041102827,circle44,1,1,1,345,213,62.24146528
SS1609041102827,circle44,2,1,0,346,88,130.8319533
SS1609041102827,circle44,3,1,0,566,238,77.87810989
SS1609045009059,circle45,1,1,1,328,245,135.4178718
SS1609045009059,circle45,2,1,0,468,346,70.22819946
SS1609045009059,circle45,3,1,0,140,310,89.69392399
SS1609045009059,circle45,4,1,0,286,400,124.4266852
SS1609045009059,circle45,5,1,0,465,180,60.30754513
SS1609045159745,circle46,1,1,0,302,209,79.42921377
SS1609045159745,circle46,2,1,1,391,247,59.43904441
SS1609045159745,circle46,3,1,0,468,171,76.1642961
SS1609045159745,circle46,4,1,0,436,308,44.10215414
SS1609047757543,circle47,1,1,1,297,147,117.4776575
SS1609047757543,circle47,2,1,0,455,217,115.8317746
SS1609047757543,circle47,3,1,0,223,280,84.21995013
SS1609050562848,circle48,1,1,1,211,172,51.66236541
SS1609050562848,circle48,2,1,0,104,95,50.20956084
SS1609050562848,circle48,3,1,0,202,62,51.66236541
SS1609050562848,circle48,4,1,0,288,108,48.16637832
SS1609050562848,circle48,5,1,0,59,247,30.47950131
SS1609050562848,circle48,6,1,0,112,244,27.85677655
SS1609050562848,circle48,7,1,0,382,118,43.8634244
SS1609051064792,circle49,1,1,1,178,168,101.1780609
SS1609051064792,circle49,2,1,0,264,73,71.69379332
SS1609051064792,circle49,3,1,0,303,165,77.3369252
SS1609051064792,circle49,4,1,0,164,324,87.1148667
SS1609054193360,circle50,1,1,0,422,117,169.0266251
SS1609054193360,circle50,2,1,1,94,340,56.43580424
SS1609054193360,circle50,3,1,0,393,395,75.66372975
SS1609054420221,circle51,1,1,1,328,209,79.25906888
SS1609054420221,circle51,2,1,0,324,350,76.55063684
SS1609054420221,circle51,3,1,0,545,202,122.4295716
SS1609056109961,circle52,1,1,1,316,169,77.38862966
SS1609056109961,circle52,2,1,0,427,157,121.1981848
SS1609056238065,circle53,1,1,1,273,180,119.503138
SS1609056238065,circle53,2,1,0,476,140,128.6001555
SS1609056238065,circle53,3,1,0,392,344,126.0634761
SS1609056238065,circle53,4,1,0,82,220,111.8659913
SS1609056238065,circle53,5,1,0,176,343,101.2422837
SS1609057298261,circle54,1,1,1,317,217,74.70609078
SS1609057298261,circle54,2,1,0,242,118,94.89467846
SS1609057298261,circle54,3,1,0,351,103,96.56603958
SS1609057764742,circle55,1,1,1,301,248,139.645981
SS1609057764742,circle55,2,1,0,485,162,74.02702209
SS1609057764742,circle55,3,1,0,468,272,69.72087205
SS1609057764742,circle55,4,1,0,420,340,64.47480128
SS1609057764742,circle55,5,1,0,323,393,58.41232747
SS1609057903683,circle56,1,1,1,395,289,157.8670327
SS1609057903683,circle56,2,1,0,638,276,153.7172729
SS1609057903683,circle56,3,1,0,259,458,119.8707637
SS1609057903683,circle56,4,1,0,175,86,94.33981132
SS1609062380695,circle57,1,1,1,171,125,107.6289924
SS1609062380695,circle57,2,1,0,496,126,105.4229577
SS1609062380695,circle57,3,1,0,306,356,105.3802638
SS1609064318009,circle58,1,1,1,342,256,71.58910532
SS1609064318009,circle58,2,1,0,496,240,84.29116205
SS1609064318009,circle58,3,1,0,169,251,101.7693471
SS1609065406081,circle59,1,1,1,237,98,63.28506933
SS1609065406081,circle59,2,1,0,418,86,73.40980861
SS1609065406081,circle59,3,1,0,136,237,67.08203932
SS1609073869026,circle60,1,1,1,336,223,78.10249676
SS1609073869026,circle60,2,1,0,490,119,112.4855546
SS1609073869026,circle60,3,1,0,166,117,122.0901306
SS1609075750358,circle61,1,1,1,385,275,91.30169768
SS1609075750358,circle61,2,1,0,469,154,88.09086218
SS1609075750358,circle61,3,1,0,517,302,79.62411695
SS1609075750358,circle61,4,1,0,303,400,101.2373449
SS1609075750358,circle61,5,1,0,221,233,89.40357935
SS1609079699037,circle62,1,1,1,208,130,118.8107739
SS1609079699037,circle62,2,1,0,414,202,94.36630755
SS1609086776753,circle63,1,1,0,258,225,117.2902383
SS1609086776753,circle63,2,1,0,378,214,114.6123903
SS1609086776753,circle63,3,1,1,325,354,98.88377015
SS1609105368955,circle64,1,1,1,319,245,85
SS1609105368955,circle64,2,1,0,90,220,138.8092216
SS1609105368955,circle64,3,1,0,410,144,95.48298278
SS1609105368955,circle64,4,1,0,149,461,59.03388857
SS1609105368955,circle64,5,1,0,484,451,58.24946352
SS1609105368955,circle64,6,1,0,246,436,63.3245608
SS1609116587428,circle65,1,1,0,131,96,65.73431372
SS1609116587428,circle65,2,1,1,340,67,59.9082632
SS1609116587428,circle65,3,1,0,529,106,65.74191966
SS1609121014512,circle66,1,0,0,185,227,100.7670581
SS1609121221630,circle67,1,1,1,475,466,180.2775638
SS1609121221630,circle67,2,1,0,587,260,142.9020644
SS1609121221630,circle67,3,1,0,242,488,58.18075283
SS1609121221630,circle67,4,1,0,688,403,119.2182872
SS1609121912186,circle68,1,1,1,279,230,63.50590524
SS1609121912186,circle68,2,1,0,441,109,89.37561189
SS1609121912186,circle68,3,1,0,422,262,75.21303079
SS1609125348720,circle69,1,0,0,500,154,202.9704412
SS1609132098611,circle70,1,1,1,148,262,58.6003413
SS1609132098611,circle70,2,1,0,95,54,92.6984358
SS1609132098611,circle70,3,1,0,287,27,134.9518433
SS1609139734485,circle71,1,1,0,255,101,56.08029957
SS1609139734485,circle71,2,1,0,358,99,174.1522323
SS1609139734485,circle71,3,1,1,104,352,37.73592453
SS1609139734485,circle71,4,1,0,263,384,62.36986452
SS1609139734485,circle71,5,1,0,384,347,91.21951546
SS1609139734485,circle71,6,1,0,578,352,60.20797289
SS1609141291161,circle72,1,1,1,354,134,44.59820624
SS1609141291161,circle72,2,1,0,471,129,54.03702434
SS1609141291161,circle72,3,1,0,595,105,56.60388679
SS1609141291161,circle72,4,1,0,162,130,64.44377394
SS1609143031482,circle73,1,1,1,285,229,47.50789408
SS1609143031482,circle73,2,1,0,204,184,146.8230227
SS1609143031482,circle73,3,1,0,384,86,76.05918748
SS1609143031482,circle73,4,1,0,449,248,58.82176468
SS1609143031482,circle73,5,1,0,423,345,44.94441011
SS1609143031482,circle73,6,1,0,93,343,86.03487665
SS1609144676893,circle74,1,1,1,163,332,102.6109156
SS1609144676893,circle74,2,1,0,593,57,111.6646766
SS1609144676893,circle74,3,1,0,623,266,80.28075735
SS1609146491935,circle75,1,1,1,308,377,85.91274643
SS1609146491935,circle75,2,1,0,369,222,114.1095964
SS1609146491935,circle75,3,1,0,206,254,115.277925
SS1609146491935,circle75,4,1,0,407,349,58.52349955
SS1609146491935,circle75,5,1,0,191,377,40.49691346
SS1609156148777,circle76,1,1,1,220,195,53.25410782
SS1609156148777,circle76,2,1,0,406,83,96.8297475
SS1609156148777,circle76,3,1,0,389,318,100.8017857
SS1609163312228,circle77,1,1,1,91,91,77.80102827
SS1609163312228,circle77,2,1,0,264,57,73
SS1609163312228,circle77,3,1,0,107,246,73.75635566
SS1609163312228,circle77,4,1,0,209,177,75.66372975
SS1609166832692,circle78,1,1,1,323,149,112.8716085
SS1609166832692,circle78,2,1,0,569,113,118.8696765
SS1609166832692,circle78,3,1,0,38,77,114.0175425
SS1609206019548,circle79,1,1,1,414,274,67.94115101
SS1609206019548,circle79,2,1,0,451,186,74.62573283
SS1609208930844,circle80,1,1,0,196,172,69.77105417
SS1609208930844,circle80,2,1,0,386,102,79.64923101
SS1609208930844,circle80,3,1,0,148,302,87.92041856
SS1609208930844,circle80,4,1,0,452,260,60.40695324
SS1609208930844,circle80,5,1,0,368,393,72.44308111
SS1609208930844,circle80,6,1,1,297,255,103.0776406
SS1609213276315,circle81,1,1,1,189,183,167.9434429
SS1609213276315,circle81,2,1,0,433,72,69.63476143
SS1609213276315,circle81,3,1,0,368,219,76.94153625
SS1609214157015,circle82,1,1,0,219,54,54.81788029
SS1609214157015,circle82,2,1,0,321,89,44.77722635
SS1609214157015,circle82,3,1,1,108,137,51.31276644
SS1609214157015,circle82,4,1,0,242,156,43.26661531
SS1609214157015,circle82,5,1,0,397,130,53.75872022
SS1609222543224,circle83,1,1,1,208,130,54.34151268
SS1609222543224,circle83,2,1,0,460,124,63.95310782
SS1609222543224,circle83,3,1,0,122,246,51.66236541
SS1609222543224,circle83,4,1,0,345,263,83.5463943
SS1609222543224,circle83,5,1,0,523,246,48.7954916
SS1609222543224,circle83,6,1,0,662,260,59.50630219
SS1609223067371,circle84,1,1,1,644,95,81.0061726
SS1609223067371,circle84,2,1,0,654,274,92.34717104
SS1609223067371,circle84,3,1,0,302,109,101.9803903
SS1609223067371,circle84,4,1,0,181,279,101.5135459
SS1609225913111,circle85,1,1,1,351,138,107.0700705
SS1609225913111,circle85,2,1,0,454,310,70.80254233
SS1609225913111,circle85,3,1,0,483,67,62.42595614
SS1609225913111,circle85,4,1,0,113,124,83.72574276
SS1609229037242,circle86,1,0,0,223,188,102.8396811
SS1609229287946,circle87,1,1,1,352,335,80.62257748
SS1609229287946,circle87,2,1,0,186,488,93.13431162
SS1609229287946,circle87,3,1,0,533,283,76
SS1609229287946,circle87,4,1,0,531,423,91.54780172
SS1609229287946,circle87,5,1,0,318,504,67.89698079
SS1609229287946,circle87,6,1,0,375,143,102.2007828
SS1609229287946,circle87,7,1,0,182,291,67.67569726
SS1609229287946,circle87,8,1,0,205,161,92.17917335
SS1609233742402,circle88,1,0,0,150,139,182.7785545
SS1609234368670,circle89,1,1,1,160,161,44.04543109
SS1609234368670,circle89,2,1,0,382,146,46.22769733
SS1609234368670,circle89,3,1,0,256,227,49.2036584
SS1609236181354,circle90,1,1,1,91,89,42.04759208
SS1609236181354,circle90,2,1,0,232,88,63.2455532
SS1609236181354,circle90,3,1,0,346,47,59.41380311
SS1609236181354,circle90,4,1,0,140,151,60.37383539
SS1609236181354,circle90,5,1,0,282,164,34.6554469
SS1609238981425,circle91,1,1,1,288,253,59.46427499
SS1609238981425,circle91,2,1,0,405,196,58.79625838
SS1609238981425,circle91,3,1,0,391,336,57.20139858
SS1609238981425,circle91,4,1,0,171,315,57.98275606
SS1609238981425,circle91,5,1,0,189,166,55.22680509
SS1609241808889,circle92,1,1,1,180,129,117.3456433
SS1609241808889,circle92,2,1,0,421,141,94.36630755
SS1609241808889,circle92,3,1,0,169,332,110.6932699
SS1609241808889,circle92,4,1,0,407,280,140.4706375
SS1609241808889,circle92,5,1,0,567,308,173.6433126
SS1609241808889,circle92,6,1,0,329,490,108.4619749
SS1609242245499,circle93,1,0,0,170,143,95.34149149
SS1609242245499,circle93,2,0,0,278,130,215.1115989
SS1609242245499,circle93,3,0,0,484,323,6.708203932
SS1609248452680,circle94,1,0,0,177,125,549.2986437
SS1609252307381,circle95,1,1,1,318,169,115.7454103
SS1609252307381,circle95,2,1,0,295,285,235.5525419
SS1609254302236,circle96,1,1,1,304,231,130.6024502
SS1609254302236,circle96,2,1,0,559,127,70.72481884
SS1609254302236,circle96,3,1,0,560,266,77.07788269
SS1609254302236,circle96,4,1,0,89,407,87.45856162
SS1609254302236,circle96,5,1,0,243,424,64.40496875
SS1609301941699,circle97,1,1,1,438,343,200.5716829
SS1609301941699,circle97,2,1,0,69,310,107.1540946
SS1609301941699,circle97,3,1,0,95,86,122.1474519
SS1609301941699,circle97,4,1,0,608,83,8.544003745
SS1609301941699,circle97,5,1,0,544,52,119.8707637
SS1609304537384,circle98,1,0,0,156,100,83.15046602
SS1609304537384,circle98,2,0,0,460,69,88.00568163
SS1609304537384,circle98,3,0,0,169,287,102.0049018
SS1609311437110,circle99,1,0,0,101,92,112.1605991
SS1609311437110,circle99,2,0,0,467,39,71.78439942
SS1609311437110,circle99,3,0,0,239,289,113.8507795
SS1609311437110,circle99,4,0,0,502,270,79.19595949
SS1609314218600,circle100,1,1,1,314,176,66.21933252
SS1609314218600,circle100,2,1,0,486,123,115.5205609
SS1609314218600,circle100,3,1,0,384,326,183.4393633
SS1609315463105,circle101,1,1,0,156,295,118.9621789
SS1609315463105,circle101,2,1,1,314,278,87.13208364
SS1609315463105,circle101,3,1,0,457,254,131.381125
SS1609315463105,circle101,4,1,0,632,399,105.2235715
SS1609318098340,circle102,1,1,1,195,47,44.92215489
SS1609318098340,circle102,2,1,0,418,158,158.6190405
SS1609318098340,circle102,3,1,0,575,444,122.9308749
SS1609318098340,circle102,4,1,0,88,416,92.91393867
SS1609318098340,circle102,5,1,0,217,259,144.8447445
SS1609382454367,circle103,1,1,1,211,126,117.239072
SS1609382454367,circle103,2,1,0,295,34,19.6977156
SS1609382454367,circle103,3,1,0,323,81,22.56102835
SS1609382677476,circle104,1,1,0,396,191,135.3698637
SS1609382677476,circle104,2,1,1,560,442,111.2519663
SS1609382677476,circle104,3,1,0,186,453,135.1517665
SS1609383084698,circle105,1,1,1,174,76,49.64876635
SS1609383084698,circle105,2,1,0,302,81,71.56116265
SS1609383084698,circle105,3,1,0,441,123,87.20091743
SS1609383467951,circle106,1,1,1,290,167,74.33034374
SS1609383467951,circle106,2,1,0,450,113,81.49233093
SS1609383467951,circle106,3,1,0,407,232,107.7821878
SS1609383467951,circle106,4,1,0,512,208,88.40814442
SS1609383467951,circle106,5,1,0,426,332,84.48076704
SS1609383467951,circle106,6,1,0,235,279,111.9464158
SS1609383545426,circle107,1,1,0,317,154,139.4309865
SS1609383545426,circle107,2,1,0,274,331,185.0675552
SS1609383545426,circle107,3,1,1,504,222,82.36504113
SS1609383545426,circle107,4,1,0,459,321,136.3598181
SS1609383938335,circle108,1,1,1,249,182,46.23851209
SS1609383938335,circle108,2,1,0,366,84,80.22468448
SS1609383938335,circle108,3,1,0,340,274,52.95280918
SS1609385308642,circle109,1,1,0,517,230,99.36297097
SS1609385308642,circle109,2,1,1,368,267,90.42676595
SS1609385308642,circle109,3,1,0,216,193,75.23961722
SS1609385308642,circle109,4,1,0,269,386,68.30812543
SS1609386384117,circle110,1,1,1,274,244,79.40403012
SS1609386384117,circle110,2,1,0,502,4,343.0014577
SS1609386384117,circle110,3,1,0,477,357,348.4551621
SS1609387365186,circle111,1,0,0,282,211,106.5504575
SS1609388348920,circle112,1,1,1,95,98,56.5154846
SS1609388348920,circle112,2,1,0,271,102,66.48308055
SS1609388348920,circle112,3,1,0,156,262,93.08598176
SS1609388348920,circle112,4,1,0,395,232,111.5212984
SS1609388348920,circle112,5,1,0,615,68,57.14017851
SS1609390330971,circle113,1,1,1,236,206,130.2075267
SS1609390330971,circle113,2,1,0,461,254,195.4788991
SS1609390330971,circle113,3,1,0,87,294,259.2778432
SS1609390524426,circle114,1,1,0,372,100,86.092973
SS1609390524426,circle114,2,1,0,468,202,80.44874144
SS1609390524426,circle114,3,1,0,348,232,59.46427499
SS1609390524426,circle114,4,1,1,266,155,49.40647731
SS1609390607072,circle115,1,1,1,98,100,59.03388857
SS1609390607072,circle115,2,1,0,238,116,66.70832032
SS1609390607072,circle115,3,1,0,382,125,74.79304781
SS1609391110803,circle116,1,1,1,333,76,72.11102551
SS1609391110803,circle116,2,1,0,462,39,33.13608305
SS1609391110803,circle116,3,1,0,418,124,67.35725648
SS1609394084810,circle117,1,1,1,239,200,74.3236167
SS1609394084810,circle117,2,1,0,400,124,81.84130986
SS1609394084810,circle117,3,1,0,427,245,80.80222769
SS1609394084810,circle117,4,1,0,220,298,51.31276644
SS1609395698854,circle118,1,1,1,412,46,37.16180835
SS1609395698854,circle118,2,1,0,525,72,73.10950691
SS1609395698854,circle118,4,1,0,230,311,260.771931
SS1609395698854,circle118,5,1,0,617,273,269.2080979
SS1609396253241,circle119,1,1,1,386,358,83.43860018
SS1609396253241,circle119,2,1,0,220,227,112.044634
SS1609396253241,circle119,3,1,0,474,159,117.5159564
SS1609396910985,circle120,1,1,1,131,144,31
SS1609396910985,circle120,2,1,0,319,77,54.81788029
SS1609396910985,circle120,3,1,0,415,232,65.73431372
SS1609397448237,circle121,1,1,1,335,219,31.6227766
SS1609397448237,circle121,2,1,0,425,173,57.80138407
SS1609397448237,circle121,3,1,0,553,180,70.03570518
SS1609397448237,circle121,4,1,0,680,186,46.17358552
SS1609399711690,circle122,1,1,1,294,161,119.5533354
SS1609399711690,circle122,2,1,0,483,201,152.0690633
SS1609399711690,circle122,3,1,0,96,249,146.2395295
SS1609399711690,circle122,4,1,0,181,401,109.1237829
SS1609399711690,circle122,5,1,0,331,324,92.0271699
SS1609400144008,circle123,1,0,0,355,155,120.7683733
SS1609400637045,circle124,1,1,1,373,292,139.3879478
SS1609400637045,circle124,2,1,0,556,452,147.0850094
SS1609400637045,circle124,3,1,0,180,486,148.9227988
SS1609400637045,circle124,4,1,0,611,146,147.8005413
SS1609400637045,circle124,5,1,0,119,160,144.4229899
SS1609400971621,circle125,1,0,0,384,110,107.9351657
SS1609400971621,circle125,2,0,0,491,287,202.5660386
SS1609400971621,circle125,3,0,0,54,345,257.0992026
SS1609400971621,circle125,4,0,0,659,100,149.939988
SS1609403452252,circle126,1,1,1,151,136,87.31551981
SS1609403452252,circle126,2,1,0,351,155,191.4001045
SS1609403452252,circle126,3,1,0,77,327,109.4440496
SS1609408783276,circle127,1,1,1,77,78,61.07372594
SS1609408783276,circle127,2,1,0,287,146,73.81734214
SS1609408783276,circle127,3,1,0,494,77,70.43436661
SS1609408783276,circle127,4,1,0,225,415,88.20430828
SS1609408783276,circle127,5,1,0,409,376,79.32212806
SS1609410027831,circle128,1,1,1,210,231,96.87620967
SS1609410027831,circle128,2,1,0,305,143,132.9247908
SS1609410027831,circle128,3,1,0,283,325,91.1811384
SS1609410027831,circle128,4,1,0,392,262,117.889779
SS1609412776217,circle129,1,1,1,227,157,42.44997055
SS1609412776217,circle129,2,1,0,124,88,53.81449619
SS1609412776217,circle129,3,1,0,86,192,56.30275304
SS1609412776217,circle129,4,1,0,399,44,49.04079934
SS1609412776217,circle129,5,1,0,355,159,51.10772936
SS1609412776217,circle129,6,1,0,256,320,104.8618138
SS1609412776217,circle129,7,1,0,261,62,45.27692569
SS1609412776217,circle129,8,1,0,617,245,121.6593605
SS1609422628010,circle130,1,1,1,287,164,109.9863628
SS1609422628010,circle130,2,1,0,504,68,74.79304781
SS1609422628010,circle130,3,1,0,435,349,97.09788875
SS1609469598838,circle131,1,0,0,389,218,169.8528775
SS1609479257730,circle132,1,1,1,229,180,137
SS1609479257730,circle132,2,1,0,397,182,138.2353066
SS1609479257730,circle132,3,1,0,293,392,141.7356695
SS1609483625579,circle133,1,1,0,309,179,98.85848471
SS1609483625579,circle133,2,1,0,293,329,40.36087214
SS1609483625579,circle133,3,1,0,329,402,34.05877273
SS1609483625579,circle133,4,1,1,400,311,19.10497317
SS1609483625579,circle133,5,1,0,644,180,44.10215414
SS1609483625579,circle133,6,1,0,345,278,25.61249695
SS1609487859941,circle134,1,1,1,236,312,134.4693274
SS1609487859941,circle134,2,1,0,303,135,118.5116028
SS1609487859941,circle134,3,1,0,434,150,131.855982
SS1609487859941,circle134,4,1,0,390,300,140.0714104
SS1609490403304,circle135,1,1,1,159,190,108.9036271
SS1609490403304,circle135,2,1,0,422,82,175.1370892
SS1609490403304,circle135,3,1,0,316,368,126.8463638
SS1609492332657,circle136,1,0,0,311,131,72.06941099
SS1609492340188,circle137,1,1,1,302,226,85.44003745
SS1609492340188,circle137,2,1,0,401,36,126.4001582
SS1609492340188,circle137,3,1,0,141,91,125.1958466
SS1609492679568,circle138,1,1,1,343,206,54.45181356
SS1609492679568,circle138,2,1,0,169,80,59.93329626
SS1609492679568,circle138,3,1,0,417,68,53.82378656
SS1609492679568,circle138,4,1,0,189,210,49.92995093
SS1609492679568,circle138,5,1,0,415,167,56.82429058
SS1609493526682,circle139,1,1,0,73,126,68.87670143
SS1609493526682,circle139,2,1,0,213,157,68.65857558
SS1609493526682,circle139,3,1,0,393,245,96.30160954
SS1609493526682,circle139,4,1,0,600,242,104.1393297
SS1609493526682,circle139,5,1,1,111,254,76.83749085
SS1609494868761,circle140,1,1,0,143,150,123.6648697
SS1609494868761,circle140,2,1,0,367,140,113.6001761
SS1609494868761,circle140,3,1,0,577,102,86.83317338
SS1609494868761,circle140,4,1,1,409,315,103.3247308
SS1609506186383,circle141,1,1,1,193,354,75.00666637
SS1609506186383,circle141,2,1,0,374,411,97.18538985
SS1609506186383,circle141,3,1,0,258,147,135.2072483
SS1609506186383,circle141,4,1,0,518,197,119.5533354
SS1609553048222,circle142,1,1,1,141,133,84.05950273
SS1609553048222,circle142,2,1,0,476,169,290.0379286
SS1609553048222,circle142,3,1,0,65,431,56.60388679
SS1609553048222,circle142,4,1,0,100,247,100.895986
SS1609553165145,circle143,1,1,1,111,70,49.39635614
SS1609553165145,circle143,2,1,0,368,136,94.86832981
SS1609553165145,circle143,3,1,0,503,262,126.4911064
SS1609558200124,circle144,1,1,1,484,387,196.4001018
SS1609558200124,circle144,3,1,0,641,249,143.5339681
SS1609558200124,circle144,4,1,0,434,70,212.6240814
